ID,Title,ShortTitle,SubjectType,ControlType,IsDistant,Departments - DepartmentId → ID,Departments - DepartmentId → Title,Faculties - FacultyId → ID,Faculties - FacultyId → Title,SemesterSeasons - SemesterSeasonId → Year,SemesterSeasons - SemesterSeasonId → Season
2002,Этика и правовые проблемы искусственного интеллекта,ЭиППИИ,Лек,ЗчО,true,2,каф.ИС,3,ФКТИ,2023,autumn
2003,Управление инженерными проектами,УпрИнжПр,Лек,ЗчО,true,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2004,Науки о Земле,НаукЗем,Пр,,false,7,каф.ИЗОС,5,ФИБС,2023,autumn
2005,Технологии и протоколы криптовалют,ТиПК,Лек,ЗчО,true,2,каф.ИС,3,ФКТИ,2023,autumn
2047,Бережливые технологии в менеджменте качества,БТвМК,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2006,Приборы и устройства функциональной электроники и радиофотоники,ПиУФЭиРФ,Лек,Экз,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
2007,Основы теории систем (Basics of System Theory),ОснТС(BofSTh),Пр,Экз,false,1,каф.АПУ,3,ФКТИ,2023,autumn
2008,Математическое моделирование линейных и нелинейных систем (Mathematical Modelling of Linear and Non-Linear Systems),ММЛиНС(MML&NLS),Пр,Экз,false,29,каф.ТОЭ,4,ФЭА,2023,autumn
2009,Технологии перспективных материалов электроники и радиофотоники,ТПМЭиРФ,Лек,Экз,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
2010,Полупроводниковые оптоэлектронные приборы (Semiconductor Optoelectronic Devices),ППОЭПр(SCOED),Пр,,false,17,каф.МНЭ,2,ФЭЛ,2023,autumn
2011,Полупроводниковые оптоэлектронные приборы (Semiconductor Optoelectronic Devices),ППОЭПр(SCOED),Лек,Экз,false,17,каф.МНЭ,2,ФЭЛ,2023,autumn
2012,Технологии перспективных материалов электроники,ТПМЭл,Лек,Экз,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
2014,Разработка в ядре Linux,РвЯ_Linux,Пр,,true,14,каф.МОЭВМ,3,ФКТИ,2023,autumn
2015,Перспективы сверхвысокочастотной микроэлектроники и радиофотоники,ПСМиРФ,Лек,Экз,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
2016,Перспективы  микроэлектроники СВЧ,ПМЭСВЧ,Лек,Экз,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
2017,Представление знаний в системах искусственного интеллекта,ПЗвСИИ,Лаб,,true,14,каф.МОЭВМ,3,ФКТИ,2023,autumn
2020,"Междисциплинарный проект 'Конструирование электровакуумного прибора""",МДП,Пр,ЗчО,false,36,каф.ЭПУ,2,ФЭЛ,2023,autumn
2021,"Междисциплинарный проект 'Проектирование, технология и метрология солнечных фотопреобразователей""",МДП,Пр,ЗчО,false,11,каф.Фот,2,ФЭЛ,2023,autumn
2022,Компьютерные технологии в разработке устройств радиофотоники,КТвРУРФ,Лек,Экз,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
