ID ЛК,НомерЛД,Иностранец,Курс,finans,status,Уровень образования,Форма образования
318303,300418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318305,330418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318309,370418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318311,390418,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318315,430418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318316,450418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318318,480418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318325,570418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318327,600418,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318329,620418,False,1,Контракт,Отчислен,Магистратура,Очная форма
318329,620418,False,1,Бюджет,Учащийся,Магистратура,Очная форма
318332,650418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318333,660418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318336,710418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318337,730418,False,1,Бюджет,Учащийся,Магистратура,Очная форма
318338,740418,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318339,750418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318340,790418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318341,800418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318343,830418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318345,850418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318348,900418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318349,910418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318350,920418,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318352,940418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318353,980418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318354,990418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318355,1000418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318356,1010418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318361,1060418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318362,1080418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318363,1090418,False,4,Контракт,Учащийся,Бакалавриат,Очная форма
318365,1110418,False,3,Бюджет,Учащийся,Бакалавриат,Очно-заочная
318368,1150418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318372,1200418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318373,1210418,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318375,1230418,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318377,1270418,False,1,Бюджет,Учащийся,Магистратура,Очная форма
318380,330518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318384,380518,False,3,Контракт,Отчислен,Бакалавриат,Очная форма
318387,410518,False,5,Контракт,Учащийся,Бакалавриат,Заочная форма
318388,420518,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318389,430518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318391,460518,False,1,Бюджет,Учащийся,Магистратура,Очная форма
318392,470518,False,2,Контракт,Учащийся,Магистратура,Заочная форма
318396,510518,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318398,540518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318399,550518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318400,560518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318401,570518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318408,670518,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
318409,680518,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318410,700518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318412,720518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318413,730518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318415,750518,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318416,760518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318417,770518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318418,780518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318419,790518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318420,800518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318423,300618,False,2,Бюджет,Учащийся,Магистратура,Очная форма
